Truck #,Last Call,Call Status,ETA
61305,"Feb 6, 2026",SUCCESSFUL - NOT_STARTED,
23307,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
36056,"Feb 6, 2026",UNSUCCESSFUL,
36894,"Feb 6, 2026",SUCCESSFUL - READY_FOR_PICKUP,
46017,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
46581,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
61382,"Feb 6, 2026",SUCCESSFUL - IN_REPAIR,
46964,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
61140,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
21285,"Feb 6, 2026",UNSUCCESSFUL,
23860,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
21165,"Feb 6, 2026",UNSUCCESSFUL,
36479,"Feb 6, 2026",UNSUCCESSFUL,
23061,"Feb 6, 2026",SUCCESSFUL - NOT_FOUND,
46986,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
37303,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
46821,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
41000,"Feb 6, 2026",UNSUCCESSFUL,
36295,"Feb 6, 2026",UNSUCCESSFUL,
47273,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
36488,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
46835,"Feb 6, 2026",UNSUCCESSFUL,
61732,"Feb 6, 2026",SUCCESSFUL - IN_REPAIR,
61003,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23859,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
61123,"Feb 6, 2026",SUCCESSFUL - READY_FOR_PICKUP,
47042,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,Tomorrow
23535,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46884,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46977,"Feb 6, 2026",UNSUCCESSFUL,
46269,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
47363,"Feb 6, 2026",UNSUCCESSFUL,
61323,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
36366,"Feb 6, 2026",UNSUCCESSFUL,
61373,"Feb 6, 2026",UNSUCCESSFUL,
22186,"Feb 6, 2026",UNSUCCESSFUL,
21708,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46962,"Feb 6, 2026",UNSUCCESSFUL,
36581,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
36637,"Feb 6, 2026",UNSUCCESSFUL,
61843,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
